"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title","sd_gc_low","sd_gc_high","sd_fitness_low","sd_fitness_high","yi_f","vi_f","yi_gc","vi_gc","lifespan"
"72",72,123,"lepus_americanus","mammals","wild","lab","experimental","adult","female","predator_presence","predation_risk","days","Right_hind_foot","reproductive_success","stress_induced",284.345,35.559,656.845,137.25,36.08,0.86,30.57,0.74,12,14,12,14,"no","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares",123.179989332683,513.542476334723,2.97912738901847,2.76882646621272,-1.86098739661148,0.221363329576265,0.931967860079659,0.171465060381548,NA
"73",73,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile",NA,"resource_limitation","food_limitation","days","body_mass","body_condition","stress_induced",2.117,0.483,4.025,0.606,402.591,4.421,298.446,3.627,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY",1.74148126604911,2.18496407293118,15.9401421888263,13.0773344761079,-6.91742726801857,1.07405384631398,0.935180268413904,0.17066465643136,28.2
"74",74,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile",NA,"resource_limitation","food_limitation","days","wing_chord_length","body_condition","stress_induced",2.117,0.483,4.025,0.606,140.838,1.673,143.525,1.259,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY",1.74148126604911,2.18496407293118,6.03208728385125,4.53938905580916,0.487432417103378,0.158415199254678,0.935180268413904,0.17066465643136,28.2
"75",75,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile",NA,"resource_limitation","food_limitation","days","Taursus_length","body_condition","stress_induced",2.117,0.483,4.025,0.606,31.576,0.173,30.89,0.174,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY",1.74148126604911,2.18496407293118,0.62376037065527,0.627365921930734,-1.06191644375173,0.175532048721352,0.935180268413904,0.17066465643136,28.2
"76",76,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile",NA,"resource_limitation","food_limitation","days","culmen_length","body_condition","stress_induced",2.117,0.483,4.025,0.606,26.579,0.5225,24.55,0.277,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY",1.74148126604911,2.18496407293118,1.88390054142993,0.998737703303525,-1.30315133701372,0.186503911676166,0.935180268413904,0.17066465643136,28.2
"77",77,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","total_length","body_condition","stress_induced",17.039,0.954,49.342,4.561,12.2,0.4,11.9,0.1,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density",3.01681288780063,14.423148408028,1.26491106406735,0.316227766016838,-0.311614016763983,0.202427582386095,2.96896283939733,0.420368508543056,NA
"78",78,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","body_weight","body_condition","stress_induced",17.039,0.954,49.342,4.561,26.8,2.7,23.7,1.7,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density",3.01681288780063,14.423148408028,8.53814968245463,5.37587202228625,-0.416109848988123,0.204328685160623,2.96896283939733,0.420368508543056,NA
"79",79,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","survival_%","survival","stress_induced",17.039,0.954,49.342,4.561,93.7,8.8,90,4.7,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density",3.01681288780063,14.423148408028,27.8280434094817,14.8627050027914,-0.158834526436043,0.200630710169704,2.96896283939733,0.420368508543056,NA
"80",80,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","hematosomatic_index","body_condition","stress_induced",17.039,0.954,49.342,4.561,1.01,0.1,1.2,0.1,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density",3.01681288780063,14.423148408028,0.316227766016838,0.316227766016838,0.575385341478264,0.208276707279701,2.96896283939733,0.420368508543056,NA
"81",81,132,"spea_bombifrons","amphibians","captive","lab","experimental","juvenile",NA,"resource_limitation","food_limitation","days","body_mass","body_condition","baseline",7.91,1.074,6.841,1.774,2.675,0.117,2.342,0.095,12,12,33,33,"no","Rettig and Lagon",2021,"Ecology and evolution ","A novel diet interacts with nutritional stress to modify juvenile behaviours and glucocortocoid responses",3.72044513465795,6.14531626525438,0.672113829644949,0.545733451421113,-0.537542021196483,0.0627950865496364,-0.203174903241494,0.167526667527233,NA
"82",82,132,"spea_bombifrons","amphibians","captive","lab","experimental","juvenile",NA,"resource_limitation","food_limitation","days","body_mass","body_condition","stress_induced",8.138,1.21,10.719,1.526,2.675,0.117,2.342,0.095,12,12,33,33,"no","Rettig and Lagon",2021,"Ecology and evolution ","A novel diet interacts with nutritional stress to modify juvenile behaviours and glucocortocoid responses",4.19156295431668,5.28621906470021,0.672113829644949,0.545733451421113,-0.537542021196483,0.0627950865496364,0.52235272598996,0.17235109104894,NA
"83",90,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"edible_vegetation_availability","food_limitation","years","hematocrit","immune_function","baseline",106.997,23.682,172.028,22.497,0.76,0.01,0.72,0.01,37,50,35,51,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",144.051982242522,159.077812563538,0.0591607978309962,0.0714142842854285,-0.594093980668614,0.0502312929753502,0.421567178327143,0.048048399934169,NA
"84",91,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"edible_vegetation_availability","food_limitation","years","body_mass","body_condition","baseline",106.997,23.682,172.028,22.497,148.65,3.64,148.05,1.99,37,50,39,55,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",144.051982242522,159.077812563538,22.7317927141702,14.7582349893204,-0.0322130600252515,0.0438283634038874,0.421567178327143,0.048048399934169,NA
"85",92,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"edible_vegetation_availability","food_limitation","years","hematocrit","immune_function","stress_induced",535.933,38.719,488.206,32.779,0.76,0.01,0.72,0.01,37,54,35,51,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",235.518482410617,240.875472836069,0.0591607978309962,0.0714142842854285,-0.594093980668614,0.0502312929753502,-0.198235895721022,0.0457614657123165,NA
"86",93,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"edible_vegetation_availability","food_limitation","years","body_mass","body_condition","stress_induced",535.933,38.719,488.206,32.779,148.65,3.64,148.05,1.99,37,54,39,55,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",235.518482410617,240.875472836069,22.7317927141702,14.7582349893204,-0.0322130600252515,0.0438283634038874,-0.198235895721022,0.0457614657123165,NA
"87",94,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"cover_availability","predation_risk","years","hematocrit","immune_function","baseline",77.382,17.193,167.262,31.305,0.76,0.02,0.7,0.01,20,26,18,21,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",76.8894334743078,159.624805873022,0.0848528137423857,0.0458257569495584,-0.881730873556141,0.113141902320527,0.676918032416515,0.093442169142089,NA
"88",95,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"cover_availability","predation_risk","years","body_mass","body_condition","baseline",77.382,17.193,167.262,31.305,119.5,4.4,148.6,2.8,20,26,21,25,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",76.8894334743078,159.624805873022,20.1633330578057,14,1.67456170850353,0.118099014092811,0.676918032416515,0.093442169142089,NA
"89",96,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"cover_availability","predation_risk","years","hematocrit","immune_function","stress_induced",410.939,38.527,510.023,57.333,0.76,0.02,0.7,0.01,21,25,18,21,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",176.552893799564,286.665,0.0848528137423857,0.0458257569495584,-0.881730873556141,0.113141902320527,0.40094881107517,0.0893664383701628,NA
"90",97,163,"octodon_decus","mammals","wild","field","observational","adult",NA,"cover_availability","predation_risk","years","body_mass","body_condition","stress_induced",410.939,38.527,510.023,57.333,119.5,4.4,148.6,2.8,21,25,21,25,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)",176.552893799564,286.665,20.1633330578057,14,1.67456170850353,0.118099014092811,0.40094881107517,0.0893664383701628,NA
"91",102,168,"lates_calcarifer","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","months","myeloperoxidase_activity","immune_function","total",39.49,3.8,45.82,5.32,0.47,0.07,0.45,0.07,2,2,2,2,"no","Sadhu et al.",2014,"Fish Physiology & Biochemistry","Chronic stress due to high stocking density in open sea cage farming induces variation in biochemical and immunological functions in Asian seabass (Lates calcarifer, Bloch)",5.37401153701776,7.52361615182487,0.0989949493661167,0.0989949493661167,-0.113983508686123,1.00162403003155,0.546259900818206,1.03729998490524,NA
"92",103,168,"lates_calcarifer","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","months","plasma_glucose","body_condition","total",39.49,3.8,45.82,5.32,-136.74,21.45,-157.14,18.74,2,2,2,2,"yes","Sadhu et al.",2014,"Fish Physiology & Biochemistry","Chronic stress due to high stocking density in open sea cage farming induces variation in biochemical and immunological functions in Asian seabass (Lates calcarifer, Bloch)",5.37401153701776,7.52361615182487,30.3348809129029,26.5023621588718,-0.404079802163853,1.0204100608146,0.546259900818206,1.03729998490524,NA
"93",104,169,"lithobates_sylvaticus","amphibians","wild","lab","experimental","juvenile",NA,"predator_cue","predation_risk","weeks","body_weight","body_condition","total",833.14,117.1,1873.65,390.34,0.053,0.003,0.024,0.002,16,16,16,16,"no","Middlemis Maher et al.",2013,"Proceedings of the Royal Society B","Stress hormones mediate predator-induced phenotypic plasticity in amphibian tadpoles",468.4,1561.36,0.012,0.008,-2.77189338978426,0.245053015067651,0.879915089015612,0.137097665060584,5
"94",105,170,"solea_senegalensis","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","lysozyme_activity","immune_function","total",7.77,2.59,30.09,4.47,18.34,2.4,11.14,1.86,2,2,2,2,"no","Costas et al.",2013,"Fish Physiology & Biochemistry","Interactive effects of a high-quality protein diet and high stocking density on the stress response and some innate immune parameters of Senegalese sole Solea senegalensis",3.66281312654632,6.32153462380774,3.39411254969543,2.63043722601396,-1.33783181734989,1.22372424643921,2.43754758765363,1.74270478025951,NA
"95",106,170,"solea_senegalensis","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","blood_glucose","body_condition","total",7.77,2.59,30.09,4.47,-5,0.6,-8.1,0.3,2,2,2,2,"yes","Costas et al.",2013,"Fish Physiology & Biochemistry","Interactive effects of a high-quality protein diet and high stocking density on the stress response and some innate immune parameters of Senegalese sole Solea senegalensis",3.66281312654632,6.32153462380774,0.848528137423857,0.424264068711929,-2.60723693942083,1.84971055728506,2.43754758765363,1.74270478025951,NA
"96",107,171,"pagrus_pagrus","fish","captive","lab","experimental","juvenile",NA,"food_limitation","food_limitation","days","weight","body_condition","total",8.16,1.21,6.6,1.37,101.08,4.7,91.75,7.18,1,1,1,1,"no","Laiz-Carrion et al.",2012,"Aquaculture International","Influence of food deprivation and high stocking density on energetic metabolism and stress response in red porgy, Pagrus pagrus L",1.21,1.37,4.7,7.18,NA,NA,NA,NA,NA
"97",108,171,"pagrus_pagrus","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","weight","body_condition","total",8.16,1.17,18.59,0.86,101.08,4.7,99.02,6.42,1,1,1,1,"no","Laiz-Carrion et al.",2012,"Aquaculture International","Influence of food deprivation and high stocking density on energetic metabolism and stress response in red porgy, Pagrus pagrus L",1.17,0.86,4.7,6.42,NA,NA,NA,NA,NA
"98",109,172,"salmo_salar","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","lysozyme_activity","immune_function","total",14.95,0.502,22.35,0.75,1.9,0.1,1.77,0.15,3,3,3,3,"no","Liu et al.",2015,"Marine and Freshwater Behaviour and Physiology","The effect of stocking density on growth and seven physiological parameters with assessment of their potential as stress response indicators for the Atlantic salmon ( <i>Salmo salar</i> )",0.869489505399576,1.29903810567666,0.173205080756888,0.259807621135332,-0.469781709329728,0.685057904535063,5.34170058291,3.04448042645509,13
"99",110,172,"salmo_salar","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","growth_rate","body_condition","total",14.95,0.502,22.35,0.75,107.36,0.36,103.24,0.75,3,3,3,3,"no","Liu et al.",2015,"Marine and Freshwater Behaviour and Physiology","The effect of stocking density on growth and seven physiological parameters with assessment of their potential as stress response indicators for the Atlantic salmon ( <i>Salmo salar</i> )",0.869489505399576,1.29903810567666,0.623538290724796,1.29903810567666,-3.22631838812388,1.53409419512886,5.34170058291,3.04448042645509,13
"100",111,173,"fratercula_arctica","birds","wild","field","experimental","adult",NA,"food_supplementation","food_limitation","years","mass_gain","body_condition","total",13.66,0.76,17.2,1.31,7.95,0.3,4.58,0.36,51,48,51,48,"no","Fitzsimmons et al.",2017,"Marine Ecology Progress Series","High growth and low corticosterone in food-supplemented Atlantic puffin Fratercula arctica chicks under poor foraging conditions",5.42748560569257,9.07594623166092,2.14242852856286,2.49415316289918,-1.44161812655329,0.050937453353452,0.473214867767299,0.041572147738649,40.8
"101",113,175,"gadus_morhua","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","hematocrit","immune_function","baseline",5,2.5,16,6.8,22.7,0.87,23.22,1.17,6,6,6,6,"no","Olsen et al.",2008,"Aquaculture","The acute stress response in fed and food deprived Atlantic cod, Gadus morhua L.",6.12372435695795,16.6565302509256,2.13105607622136,2.86590299905632,0.190004331538409,0.334837568583473,0.808864468293923,0.360594238669517,25
"102",114,175,"gadus_morhua","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","days","blood_glucose","body_condition","baseline",5,2.5,16,6.8,-2.76,0.19,-4.28,0.19,6,6,6,6,"yes","Olsen et al.",2008,"Aquaculture","The acute stress response in fed and food deprived Atlantic cod, Gadus morhua L.",6.12372435695795,16.6565302509256,0.465403051128804,0.465403051128804,-3.01367453616569,0.711759758747228,0.808864468293923,0.360594238669517,25
"103",115,176,"streptopelia_decaocto","birds","wild","field","experimental","juvenile",NA,"nestmate_presence","density","days","wing_web_index","body_condition","baseline",2.86,0.31,1.87,0.22,3.13,0.15,2.3,0.1,10,37,13,33,"no","Eraud et al.",2008,"General and Comparative endocrinology","Competition for resources modulates cell-mediated immunity and stress hormone level in nestling collared doves (Streptopelia decaocto)",0.980306074652198,1.33820775666561,0.540832691319598,0.574456264653803,-1.4425820732669,0.129846140249053,-0.763629337545575,0.13323053516703,17.9
"104",116,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","male","brood_size","density","days","body_mass","body_condition","total",48.95,13.17,59.48,8.42,88.57,2,80.29,1.71,16,17,16,17,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)",52.68,34.7165493677007,8,7.0505106198062,-1.07347023700844,0.138783201377567,0.231750509404731,0.122137291511906,NA
"105",117,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","male","brood_size","density","days","cell_immune_response","immune_function","total",48.95,13.17,59.48,8.42,1.54,0.14,1.26,0.08,16,17,16,17,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)",52.68,34.7165493677007,0.56,0.329848450049413,-0.599094710380883,0.126761627472467,0.231750509404731,0.122137291511906,NA
"106",118,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","female","brood_size","density","days","body_mass","body_condition","total",21.58,12.63,72.63,8.44,84.29,2.29,74.57,1.43,16,17,16,17,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)",50.52,34.7990114802131,9.16,5.89604104463325,-1.23935133384358,0.144596131361762,1.15478764267772,0.141528597588752,NA
"107",119,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","female","brood_size","density","days","cell_immune_response","immune_function","total",21.58,12.63,72.63,8.44,1.57,0.1,1.17,0.07,16,17,16,17,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)",50.52,34.7990114802131,0.4,0.288617393793236,-1.12456563135947,0.140484860612294,1.15478764267772,0.141528597588752,NA
"108",120,178,"rhamidia_quelen","fish","captive","lab","experimental","adult",NA,"fasting","food_limitation","days","blood_glucose","body_condition","total",30,7.4,161.1,19.9,-55,19.2,-50.7,16.9,4,4,4,4,"yes","Barcellos  et al.",2010,"Aquaculture","The effects of fasting on cortisol, blood glucose and liver and muscle glycogen in adult jundiá Rhamdia quelen",14.8,39.8,38.4,33.8,0.103255872470311,0.500666360949975,3.79265518547024,1.39901458474214,NA
"109",121,179,"salmo_salar","fish","captive","lab","experimental","juvenile","female","crowding","density","weeks","wet_weight","body_condition","baseline",11.61,2.62,34.18,6.56,170.15,4.16,156.74,1.7,3,6,3,6,"no","Basrur et  al.",2010,"Fish Physiology & Biochemistry","Effects of repeated crowding on the stress response and growth performance in Atlantic salmon (Salmo salar)",4.53797311583046,16.0686527126576,7.20533135948653,4.1641325627314,-2.28299101259929,0.789558220200508,1.45314505312439,0.617312808078882,13
